req_id,req_desc,module,priority,arch_spec_section
REQ-M01-F01,原子类型 Schema 注册,M01,P0,architecture_specification.md §3 M01
REQ-M01-F02,节点结构与锚规则约束,M01,P0,architecture_specification.md §3 M01
REQ-M01-F03,doc_type 组合规则,M01,P2,architecture_specification.md §3 M01
REQ-M02-F01,节点 CRUD 与乐观锁,M02,P0,architecture_specification.md §3 M02 + §4 DDL
REQ-M02-F02,引用边管理（ref 事件）,M02,P0,architecture_specification.md §3 M02
REQ-M02-F03,事件日志 append-only 与重放,M02,P0,architecture_specification.md §4 DDL events
REQ-M02-F04,事务一致性,M02,P0,architecture_specification.md §3 M02
REQ-M02-F05,批注 CRUD（含 orphaned）,M02,P1,architecture_specification.md §4 DDL comments
REQ-M02-F06,资产表读写,M02,P1,architecture_specification.md §4 DDL assets
REQ-M03-F01,markdown 解析器（规则库+提议）,M03,P0,architecture_specification.md §3 M03
REQ-M03-F02,CLI 审核器,M03,P0,architecture_specification.md §3 M03 CLI
REQ-M03-F03,入库（校验+事务）,M03,P0,architecture_specification.md §3 M03
REQ-M03-F04,未映射内容兜底,M03,P0,architecture_specification.md §3 M03 + functional_specification.md REQ-M03-F04
REQ-M03-F05,图片资产导入,M03,P1,architecture_specification.md §3 M03 + design_doc §5.2
REQ-M04-F01,文档渲染（HTML 直通）,M04,P0,architecture_specification.md §3 M04 + ADR-004
REQ-M04-F02,normalize() 规范化表示,M04,P0,architecture_specification.md §3 M04
REQ-M04-F03,渲染产物落盘,M04,P1,architecture_specification.md §5 部署
REQ-M05-F01,refs 多跳检索（内部实现，无公开端点）,M05,P2,architecture_specification.md §3 M05（内部）+ ADR-008
REQ-M05-F02,关键词检索（内部实现，无公开端点）,M05,P2,ADR-005 + ADR-008
REQ-M06-F01,结构化读写 API,M06,P1,architecture_specification.md §3 M06
REQ-M06-F02,lint 自修复闭环,M06,P1,architecture_specification.md §3 M06 + M09
REQ-M07-F01,表单数据 API,M07,P1,architecture_specification.md §3 M07
REQ-M07-F02,结构化 diff API,M07,P1,architecture_specification.md §3 M07
REQ-M07-F03,批注 API,M07,P1,architecture_specification.md §3 M07
REQ-M07-F04,状态流转 API,M07,P1,architecture_specification.md §3 M07
REQ-M07-F05,版本历史 API,M07,P1,architecture_specification.md §3 M07
REQ-M07-F06,文档版本 diff API（B11）,M07,P1,architecture_specification.md §3.5 事件折叠 + §3 M07
REQ-M08-F01,schema 驱动表单引擎,M08,P1,ADR-003 + architecture_specification.md §3 M07 前端契约
REQ-M08-F02,结构化 diff 视图,M08,P1,architecture_specification.md §3 M07 前端契约
REQ-M08-F03,批注面板,M08,P1,architecture_specification.md §3 M07 前端契约
REQ-M08-F04,追溯与历史视图,M08,P1,architecture_specification.md §3 M07 前端契约
REQ-M09-F01,M09A schema 校验引擎,M09,P0,architecture_specification.md §3 M09
REQ-M09-F02,M09B 质量门,M09,P2,architecture_specification.md §3 M09 + workflow_diagrams.md WF-4
REQ-MLR-F01,LightRAG 导出包,M-LR,P2,architecture_specification.md §3 M-LR
REQ-MLR-F02,增量事件流接口,M-LR,P2,architecture_specification.md §3 M-LR
REQ-M08-F05,可编辑表格视图（B6）,M08,P2,architecture_specification.md §3 M04/M07（PATCH table）
REQ-M10-F01,SSH 公钥签名鉴权（全端点，B2）,M10,P0,architecture_specification.md §3 M10 + §9.1 + ADR-007
REQ-M10-F02,WebUI 会话登录（挑战-响应，B2）,M10,P0,architecture_specification.md §3 M10 + §4 DDL sessions
REQ-M10-F03,用户与 SSH 公钥管理（admin）,M10,P0,architecture_specification.md §3 M10 + §4 DDL users/ssh_keys
REQ-M10-F04,RBAC 四角色与文档集级授权,M10,P0,architecture_specification.md §3 M10 权限矩阵 + §4 DDL grants
REQ-M10-F05,管理员自举与鉴权审计,M10,P0,architecture_specification.md §4.1 + §5 ADMIN_SSH_PUBKEY_FILE + ADR-007
REQ-M11-F01,CLI 工具族（导入/删除/修改/读取，B3/B11）,M11,P1,architecture_specification.md §9.2
REQ-M11-F02,CLI 文档版本 diff（B11）,M11,P1,architecture_specification.md §9.2
REQ-M11-F03,CLI 用户与授权管理（admin）,M11,P0,architecture_specification.md §9.2
REQ-M11-F04,CLI 自动签名与身份传递,M11,P0,architecture_specification.md §9.2 + ADR-007
REQ-M11-F05,Skill：docer-import/read/write/render,M11,P1,architecture_specification.md §9.3
REQ-M11-F06,Skill：docer-annotations 调取人类标注（B11）,M11,P1,architecture_specification.md §9.3
REQ-M11-F07,Skill：docer-diff 变更感知（B11）,M11,P2,architecture_specification.md §9.3
REQ-M12-F01,AgenticLogger 全面接入,M12,P0,architecture_specification.md §3 M12 + §6 横切 + ADR-010
REQ-M12-F02,请求级追踪（rid 贯穿）,M12,P0,architecture_specification.md §3 M12（rid.py）+ ADR-010 §2
REQ-M12-F03,在线性能指标,M12,P1,architecture_specification.md §1.4 测量机制 + §3 M12（metrics）+ ADR-010 §3.1
REQ-M12-F04,性能基准套件,M12,P1,ADR-010 §3.2 + architecture_specification.md §5
REQ-M12-F05,容量健康巡检,M12,P1,architecture_specification.md §3 M12（health）+ ADR-010 §3.3
REQ-M12-F06,运行期 LLM 无关约束（P6）机械验证,M12,P0,architecture_specification.md §1.1 P6 + §6 可观测性边界
